,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
162,49.666666666666664,0.0763,0.000434,0.0582,0.0864,1.29,0.759,0.0,2.21e-06,0.0,0.0,0.0,1.0,0.0
163,118.33333333333331,0.0265,0.00584,0.054,0.0382,1.12,0.8079999999999999,0.32799999999999996,1.64e-20,1.32e-05,0.0,0.0,1.0,1.0
164,103.66666666666666,0.0634,0.00038500000000000003,0.0402,0.0725,0.625,0.993,0.447,1.55e-23,1.9699999999999998e-05,0.0,0.0,1.0,1.0
165,102.0,0.013,0.00942,0.0206,0.058,1.49,0.6890000000000001,0.0,6.090000000000001e-10,0.0,0.0,0.0,1.0,0.0
166,41.333333333333336,0.0319,0.0013,0.0174,0.0696,0.754,0.066,0.0,4.94e-07,0.0,0.0,0.0,1.0,0.0
167,47.666666666666664,0.0846,0.000731,0.0317,0.0527,0.705,0.845,0.275,2.1899999999999995e-19,2.9299999999999997e-05,0.0,0.0,1.0,1.0
168,99.0,0.0145,0.00472,0.0239,0.0841,1.01,0.086,0.0,1.5199999999999998e-07,0.0,0.0,0.0,1.0,0.0
169,97.33333333333333,0.0811,0.00481,0.0505,0.0262,0.665,0.841,0.345,3.11e-09,1.34e-06,0.0,0.0,1.0,1.0
170,88.33333333333333,0.0274,0.0059,0.00797,0.0432,0.693,0.726,0.242,1.14e-09,3.2e-05,0.0,0.0,1.0,1.0
171,28.766666666666666,0.0482,0.00596,0.0687,0.0296,1.46,0.7140000000000001,0.139,5.22e-17,4.09e-05,0.0,0.0,1.0,1.0
172,108.33333333333333,0.0942,0.0007480000000000001,0.0316,0.0777,1.32,1.005,0.44299999999999995,1.27e-14,2.99e-05,0.0,0.0,1.0,1.0
173,65.66666666666666,0.0208,0.006229999999999999,0.0711,0.063,0.7290000000000001,0.6559999999999999,0.0,5.42e-08,0.0,0.0,0.0,1.0,0.0
174,86.33333333333333,0.0972,0.00386,0.0518,0.0388,0.516,0.816,0.32,8.040000000000001e-23,1.4300000000000002e-05,0.0,0.0,1.0,1.0
175,23.433333333333334,0.0456,0.00532,0.0050799999999999994,0.0444,1.14,0.07,0.0,1.32e-06,0.0,0.0,0.0,1.0,0.0
176,85.99999999999999,0.0578,0.0041,0.0835,0.0392,0.883,0.8240000000000001,0.32,5.76e-31,1.55e-05,0.0,0.0,1.0,1.0
177,48.333333333333336,0.0965,0.007370000000000001,0.0588,0.0288,0.52,0.738,0.213,6.26e-16,2.4299999999999998e-05,0.0,0.0,1.0,1.0
178,87.0,0.0269,0.00164,0.0741,0.0678,1.31,0.87,0.287,3.5400000000000003e-29,3.9500000000000005e-05,0.0,0.0,1.0,1.0
179,96.66666666666667,0.0914,0.0092,0.0619,0.0828,0.53,0.08199999999999999,0.0,1.4e-06,0.0,0.0,0.0,1.0,0.0
