,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Dust_gap_2
300,108.66666666666664,0.0481,0.00321,0.0753,0.0381,1.45,0.878,0.0
524,99.33333333333331,0.0799,0.00331,0.0394,0.0701,1.38,0.792,0.0
304,38.33333333333333,0.0731,0.00575,0.073,0.0547,1.39,0.664,0.0
540,75.0,0.0977,0.00387,0.0556,0.0344,0.92,0.804,0.0
404,107.66666666666666,0.0487,0.00907,0.0593,0.0629,1.25,0.722,0.0
332,72.0,0.0116,0.00745,0.00368,0.0254,1.25,0.439,0.0
501,35.0,0.0141,0.00442,0.0301,0.0438,1.17,0.71,0.0
230,58.66666666666666,0.0888,0.00255,0.0845,0.0687,1.42,0.8,0.0
726,39.0,0.0419,0.00136,0.00145,0.036000000000000004,1.15,0.369,0.0
658,116.33333333333334,0.0218,0.009000000000000001,0.0227,0.0942,1.18,0.057,0.0
491,64.33333333333333,0.03,0.00203,0.027999999999999997,0.0448,1.31,0.812,0.0
745,73.66666666666667,0.0401,0.00177,0.0929,0.037000000000000005,1.08,0.857,0.0
606,66.99999999999999,0.0853,0.007229999999999999,0.0312,0.0335,1.0,0.742,0.0
699,55.0,0.0759,0.0007059999999999999,0.0813,0.0668,1.23,0.8740000000000001,0.0
15,103.66666666666666,0.0427,0.00746,0.0595,0.048,1.27,0.7829999999999999,0.0
246,111.33333333333331,0.0357,0.00717,0.0247,0.055,0.607,0.755,0.0
303,107.33333333333334,0.0617,0.0078,0.0599,0.0638,1.11,0.746,0.0
6,61.33333333333333,0.0517,0.00421,0.0878,0.0445,1.3,0.804,0.0
334,17.0,0.0928,0.008159999999999999,0.0296,0.0292,0.8140000000000001,0.66,0.0
353,77.66666666666666,0.0309,0.00297,0.0624,0.0494,1.48,0.8290000000000001,0.0
104,16.06666666666667,0.0985,0.00611,0.019,0.0357,0.552,0.644,0.0
774,108.0,0.0621,0.00254,0.0853,0.0573,0.906,0.906,0.0
419,42.99999999999999,0.0355,0.00435,0.0559,0.0578,0.736,0.6729999999999999,0.0
697,71.66666666666666,0.064,0.00548,0.0132,0.0644,0.703,0.365,0.0
90,105.0,0.0553,0.00475,0.0768,0.0401,1.36,0.833,0.0
469,117.66666666666666,0.0325,0.0025,0.0925,0.0386,1.48,0.915,0.0
418,82.33333333333334,0.0772,0.004220000000000001,0.0699,0.0825,0.75,0.057,0.0
549,116.0,0.0133,0.00425,0.0939,0.0811,0.532,0.738,0.0
219,98.33333333333334,0.0302,0.00225,0.00286,0.0577,1.14,0.755,0.0
580,36.0,0.0544,0.004,0.0467,0.0503,1.19,0.669,0.0
311,67.33333333333333,0.037000000000000005,0.0088,0.0968,0.0517,0.56,0.722,0.0
206,82.66666666666667,0.0498,0.0073599999999999985,0.0935,0.075,1.28,0.057,0.0
405,94.0,0.0265,0.00168,0.0727,0.0287,1.02,0.5539999999999999,0.377
191,100.0,0.0831,0.0063,0.091,0.084,1.25,0.053,0.0
515,113.0,0.0326,0.00904,0.0461,0.03,1.49,0.767,0.0
676,73.33333333333333,0.0733,0.00676,0.0532,0.027000000000000003,1.38,0.767,0.0
195,92.66666666666666,0.0982,0.0054,0.0973,0.0514,0.723,0.8370000000000001,0.0
508,81.0,0.0241,0.00932,0.0835,0.0364,1.44,0.759,0.0
133,73.33333333333333,0.0529,0.00196,0.0088,0.0652,1.32,0.767,0.0
234,107.0,0.0472,0.00376,0.0782,0.04,0.6890000000000001,0.861,0.0
174,86.33333333333331,0.0972,0.00386,0.0518,0.0388,0.516,0.816,0.0
179,96.66666666666669,0.0914,0.0092,0.0619,0.0828,0.53,0.08199999999999999,0.0
761,88.99999999999999,0.0487,0.00735,0.0218,0.0574,1.27,0.71,0.0
612,78.66666666666666,0.099,0.004070000000000001,0.0295,0.0838,0.773,0.08199999999999999,0.0
207,62.33333333333334,0.0469,0.00147,0.0298,0.078,0.68,0.701,0.0
671,99.33333333333331,0.0441,0.00933,0.0478,0.047,0.562,0.763,0.0
96,32.03333333333333,0.0262,0.00358,0.0111,0.0536,0.6859999999999999,0.07400000000000001,0.0
675,72.66666666666667,0.0283,0.000558,0.0232,0.0462,0.69,0.87,0.0
345,91.0,0.0259,0.00424,0.0898,0.0337,1.07,0.82,0.0
460,112.33333333333331,0.0873,0.00983,0.00962,0.054000000000000006,0.578,0.6890000000000001,0.0
89,98.33333333333334,0.0446,0.00429,0.0498,0.0783,0.915,0.6559999999999999,0.0
464,79.33333333333333,0.0593,0.00115,0.0161,0.0297,1.15,0.4270000000000001,0.246
180,54.0,0.0529,0.00441,0.079,0.0268,0.989,0.775,0.0
0,43.66666666666667,0.0589,0.0017399999999999998,0.00112,0.0593,0.971,0.345,0.0
46,44.33333333333334,0.0539,0.00363,0.0569,0.0478,1.32,0.73,0.021
