,Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG
132,72,0.000301,0.0375,0.0089,0.0097,0.083,1.3,0.07,0.0,1.22e-06,0.0,0.0,0.0,1.0,0.0
133,73,0.000294,0.0249,0.007679999999999999,0.092,0.0655,1.01,0.73,0.0,7.190000000000001e-09,0.0,0.0,0.0,1.0,0.0
134,74,0.000293,0.0545,0.005679999999999999,0.0974,0.0475,1.06,0.816,0.29100000000000004,2.31e-28,2.97e-05,0.0,0.0,1.0,1.0
135,650,0.00025299999999999997,0.0521,0.00908,0.0931,0.0584,1.25,0.718,0.0,1.0499999999999999e-09,0.0,0.0,0.0,1.0,0.0
136,651,0.00028900000000000003,0.0103,0.000302,0.00343,0.0928,1.35,0.9390000000000001,0.0,3.2100000000000004e-11,0.0,0.0,0.0,1.0,0.0
137,652,8.71e-05,0.0812,0.00213,0.0442,0.0793,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,653,0.000105,0.0613,0.0058,0.0814,0.0562,0.525,0.07,0.0,1.07e-06,0.0,0.0,0.0,1.0,0.0
139,654,6.28e-05,0.0293,0.00242,0.0769,0.0858,0.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,655,0.000161,0.0607,0.00411,0.0749,0.0492,0.627,0.779,0.14400000000000002,6.27e-21,4.6e-05,0.0,0.0,1.0,1.0
141,656,0.000198,0.0891,0.00237,0.0603,0.0951,0.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,657,0.000341,0.0739,0.00998,0.0536,0.0765,1.23,0.127,0.0,5.1e-07,0.0,0.0,0.0,1.0,0.0
143,658,0.00028,0.0878,0.00316,0.00995,0.0982,1.39,0.040999999999999995,0.0,3.7e-06,0.0,0.0,0.0,1.0,0.0
144,659,0.000169,0.0848,0.0018899999999999998,0.0404,0.0893,0.6629999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,660,0.00010800000000000001,0.0544,0.004,0.0467,0.0503,1.19,0.669,0.0,1.56e-08,0.0,0.0,0.0,1.0,0.0
146,661,0.000131,0.0589,0.0017399999999999998,0.00112,0.0593,0.971,0.345,0.0,1.69e-06,0.0,0.0,0.0,1.0,0.0
147,662,5.379999999999999e-05,0.0448,0.0053100000000000005,0.00203,0.0659,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,663,7.79e-05,0.0704,0.00486,0.039,0.0454,1.21,0.669,0.0,3.7e-09,0.0,0.0,0.0,1.0,0.0
149,664,0.00015900000000000002,0.022,0.006490000000000001,0.027,0.0725,0.565,0.062,0.0,3.2200000000000005e-07,0.0,0.0,0.0,1.0,0.0
150,665,0.000315,0.0553,0.00475,0.0768,0.0401,1.36,0.833,0.353,7.97e-27,1.3800000000000002e-05,0.0,0.0,1.0,1.0
151,666,0.000126,0.0347,0.000376,0.0883,0.0635,1.46,0.87,0.316,1.02e-56,3.43e-05,0.0,0.0,1.0,1.0
152,667,0.00024900000000000004,0.0167,0.00851,0.0995,0.0379,0.851,0.7709999999999999,0.23399999999999999,6.909999999999999e-23,3.12e-05,0.0,0.0,1.0,1.0
153,668,0.000198,0.0351,0.008459999999999999,0.0806,0.0822,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,669,0.000231,0.0276,0.00511,0.0676,0.0795,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,670,0.000152,0.0507,0.00123,0.0496,0.0662,1.46,0.7340000000000001,0.0,1.67e-08,0.0,0.0,0.0,1.0,0.0
156,671,0.000134,0.0312,0.0016300000000000002,0.0638,0.0449,0.89,0.82,0.23,6.409999999999999e-31,3.14e-05,0.0,0.0,1.0,1.0
157,672,0.000315,0.0282,0.00298,0.0881,0.0597,0.759,0.882,0.308,8.050000000000001e-32,3.28e-05,0.0,0.0,1.0,1.0
158,673,0.000126,0.0499,0.00804,0.0365,0.0843,0.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,674,0.00024900000000000004,0.0146,0.0014,0.0774,0.0506,0.79,0.8859999999999999,0.324,2.7499999999999996e-48,1.85e-05,0.0,0.0,1.0,1.0
160,150,0.000267,0.0664,0.0065,0.0457,0.0588,1.15,0.7140000000000001,0.0,2.63e-11,0.0,0.0,0.0,1.0,0.0
161,151,0.000154,0.0616,0.00245,0.00665,0.0575,0.604,0.726,0.0,5.34e-10,0.0,0.0,0.0,1.0,0.0
162,152,2.5300000000000002e-05,0.067,0.00688,0.0972,0.0418,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,153,0.00031600000000000004,0.0927,0.00343,0.063,0.092,0.638,0.062,0.0,3.69e-06,0.0,0.0,0.0,1.0,0.0
164,154,0.000263,0.0886,0.00585,0.0128,0.0377,1.19,0.742,0.275,1.93e-10,2.09e-05,0.0,0.0,1.0,1.0
165,155,0.000295,0.0547,0.00734,0.0307,0.0624,0.503,0.726,0.0,7.04e-11,0.0,0.0,0.0,1.0,0.0
166,156,0.000346,0.0807,0.000921,0.0015400000000000001,0.089,0.619,0.8,0.0,1.2199999999999998e-07,0.0,0.0,0.0,1.0,0.0
167,157,4.6299999999999994e-05,0.0406,0.002,0.098,0.0295,1.21,0.7340000000000001,0.127,3.84e-36,3.85e-05,0.0,0.0,1.0,1.0
168,158,0.000129,0.0355,0.00435,0.0559,0.0578,0.736,0.6729999999999999,0.0,4.4900000000000005e-08,0.0,0.0,0.0,1.0,0.0
169,159,0.000285,0.011,0.00995,0.1,0.0992,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,160,0.00029,0.0709,0.0030399999999999997,0.0339,0.073,0.6409999999999999,0.6809999999999999,0.0,8.07e-08,0.0,0.016,3.18e-06,2.0,0.0
171,161,0.000259,0.0563,0.009559999999999999,0.055,0.0416,1.45,0.7509999999999999,0.217,5.11e-14,3.77e-05,0.0,0.0,1.0,1.0
172,162,0.00035099999999999997,0.0655,0.000475,0.0703,0.0779,1.25,0.997,0.615,6.140000000000001e-42,1.7899999999999998e-05,0.0,0.0,1.0,1.0
173,163,0.000348,0.0662,0.000327,0.0915,0.0342,1.35,0.447,0.484,2.66e-10,9.880000000000001e-08,0.365,3.9e-10,3.0,1.0
174,164,7.43e-05,0.052,0.00235,0.0597,0.0955,0.8440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,165,0.000146,0.0569,0.00364,0.0568,0.0437,1.3,0.779,0.19699999999999998,9.759999999999999e-22,3.9200000000000004e-05,0.0,0.0,1.0,1.0
176,166,0.000215,0.0107,0.00373,0.00558,0.0673,1.26,0.098,0.0,2.2e-07,0.0,0.0,0.0,1.0,0.0
177,167,0.000173,0.0697,0.0071200000000000005,0.0469,0.0277,0.5329999999999999,0.742,0.23399999999999999,9.619999999999999e-16,1.59e-05,0.0,0.0,1.0,1.0
178,168,9.640000000000001e-05,0.0229,0.0017100000000000001,0.0377,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,169,0.000231,0.0352,0.0041600000000000005,0.0109,0.0998,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
